Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Rambler-chasis,"0,049839","-0,3194","0,81553",0,0,0,"410,95","95,795","-0,00061373","0,070807","118,73","0,56493","49,215",0,0,0,0,0,0,package://RAMBLER_MODEL/meshes/Rambler-chasis.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://RAMBLER_MODEL/meshes/Rambler-chasis.STL,,CHASIS - sin calc-1;soporte-chasis-2;aa530-2;aa530-1;piston-por-fuera-4;piston-por-fuera-3;piston-por-fuera-6;piston-por-fuera-5,Global Coordinate System,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Suspension-delante-dcha,"0,049839","-0,3194","0,81553",0,0,0,"410,95","95,795","-0,00061373","0,070807","118,73","0,56493","49,215",0,0,0,0,0,0,package://RAMBLER_MODEL/meshes/Suspension-delante-dcha.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://RAMBLER_MODEL/meshes/Suspension-delante-dcha.STL,,barra-metal-suspensión-6,SC-barra-metal-suspension-delante,E-barra-metal-suspension-delante,suspension-delante-dcha,revolute,"0,033294",0,"-0,03","3,1416",0,"1,5708",Rambler-chasis,1,0,0,0,0,0,"0,47124",,,,,,,,
Piston-delante-dcha,"0,049839","-0,3194","0,81553",0,0,0,"410,95","95,795","-0,00061373","0,070807","118,73","0,56493","49,215",0,0,0,0,0,0,package://RAMBLER_MODEL/meshes/Piston-delante-dcha.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://RAMBLER_MODEL/meshes/Piston-delante-dcha.STL,,piston-por-dentro-3,SC-piston-dentro-delante,E-piston-dentro-delante,piston-delante-dcha,revolute,"-0,36","0,37595","0,015382",0,0,0,Suspension-delante-dcha,-1,0,0,0,0,0,"0,43633",,,,,,,,
Rueda-delante-dcha,"0,0498394090259186","-0,319396233416161","0,815532777176436",0,0,0,"410,95","95,7952062704607","-0,000613730429750716","0,0708074089645571","118,733433081717","0,564932560850824","49,2145028687947",0,0,0,0,0,0,package://RAMBLER_MODEL/meshes/Rueda-delante-dcha.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://RAMBLER_MODEL/meshes/Rueda-delante-dcha.STL,,motor-rueda-delante-der-3;Rueda - Llanta-2;Neumático-1,SC-rueda-delante-der,E-ruedas-delante,rueda-delante-dcha,continuous,"-0,522445710742998","0,435600590171303","0,0457834669112627","3,14159265358979",0,"1,5707963267949",Suspension-delante-dcha,0,1,0,,,,,,,,,,,,
Suspension-delante-izq,"0,049839","-0,3194","0,81553",0,0,0,"410,95","95,795","-0,00061373","0,070807","118,73","0,56493","49,215",0,0,0,0,0,0,package://RAMBLER_MODEL/meshes/Suspension-delante-izq.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://RAMBLER_MODEL/meshes/Suspension-delante-izq.STL,,barra-metal-suspensión-9,SC-barra-metal-suspension-delante,E-barra-metal-suspension-delante,suspension-delante-izq,revolute,"0,033294",0,"-0,03","3,1416",0,"1,5708",Rambler-chasis,1,0,0,0,0,0,"0,47124",,,,,,,,
Piston-delante-izq,"0,0498394090259186","-0,319396233416161","0,815532777176436",0,0,0,"410,95","95,7952062704607","-0,000613730429750716","0,0708074089645571","118,733433081717","0,564932560850824","49,2145028687947",0,0,0,0,0,0,package://RAMBLER_MODEL/meshes/Piston-delante-izq.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://RAMBLER_MODEL/meshes/Piston-delante-izq.STL,,piston-por-dentro-6,SC-piston-dentro-delante,E-piston-dentro-delante,piston-delante-izq,revolute,"-0,36","0,37595","0,015382",0,0,0,Suspension-delante-izq,-1,0,0,0,0,0,"0,43633",,,,,,,,
Rueda-delante-izq,"0,0498394090259186","-0,319396233416161","0,815532777176436",0,0,0,"410,95","95,7952062704607","-0,000613730429750716","0,0708074089645571","118,733433081717","0,564932560850824","49,2145028687947",0,0,0,0,0,0,package://RAMBLER_MODEL/meshes/Rueda-delante-izq.STL,1,1,1,1,0,0,0,0,0,0,package://RAMBLER_MODEL/meshes/Rueda-delante-izq.STL,,Neumático-3;Rueda - Llanta-3;unión-con-ruedas - copia (3)-2,SC-rueda-delante-izq,E-ruedas-delante,rueda-delante-izq,continuous,"0,52245","0,4356","0,045783","3,1416",0,"1,5708",Suspension-delante-izq,0,1,0,,,,,,,,,,,,
Suspension-atras-dcha,"0,0498394090259186","-0,319396233416161","0,815532777176436",0,0,0,"410,95","95,7952062704607","-0,000613730429750716","0,0708074089645571","118,733433081717","0,564932560850824","49,2145028687947",0,0,0,0,0,0,package://RAMBLER_MODEL/meshes/Suspension-atras-dcha.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://RAMBLER_MODEL/meshes/Suspension-atras-dcha.STL,,barra-metal-suspensión-7,SC-barra-metal-suspension-atras,E-barra-metal-suspension-atras,suspension-atras-dcha,revolute,"-0,033294",0,"-0,03","3,1416",0,"1,5708",Rambler-chasis,1,0,0,0,0,"5,812","6,2832",,,,,,,,
Piston-atras-dcha,"0,0498394090259186","-0,319396233416161","0,815532777176436",0,0,0,"410,95","95,7952062704607","-0,000613730429750716","0,0708074089645571","118,733433081717","0,564932560850824","49,2145028687947",0,0,0,0,0,0,package://RAMBLER_MODEL/meshes/Piston-atras-dcha.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://RAMBLER_MODEL/meshes/Piston-atras-dcha.STL,,piston-por-dentro-4,SC-piston-dentro-atras,E-piston-dentro-atras,piston-atras-dcha,revolute,"-0,36","-0,37595","0,015382",0,0,0,Suspension-atras-dcha,-1,0,0,0,0,"5,8469","6,2832",,,,,,,,
Rueda-atras-dcha,"0,0498394090259186","-0,319396233416161","0,815532777176436",0,0,0,"410,95","95,7952062704607","-0,000613730429750716","0,0708074089645571","118,733433081717","0,564932560850824","49,2145028687947",0,0,0,0,0,0,package://RAMBLER_MODEL/meshes/Rueda-atras-dcha.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://RAMBLER_MODEL/meshes/Rueda-atras-dcha.STL,,Rueda - Llanta-4;Neumático-2;motor-rueda-delante-der-2,SC-rueda-atras-der,E-ruedas-atras,rueda-atras-dcha,continuous,"-0,522445710742998","-0,435600590171305","0,0457834669112622","3,14159265358979",0,"1,5707963267949",Suspension-atras-dcha,0,1,0,,,,,,,,,,,,
Suspension-atras-izq,"0,0498394090259186","-0,319396233416161","0,815532777176436",0,0,0,"410,95","95,7952062704607","-0,000613730429750716","0,0708074089645571","118,733433081717","0,564932560850824","49,2145028687947",0,0,0,0,0,0,package://RAMBLER_MODEL/meshes/Suspension-atras-izq.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://RAMBLER_MODEL/meshes/Suspension-atras-izq.STL,,barra-metal-suspensión-8,SC-barra-metal-suspension-atras,E-barra-metal-suspension-atras,suspension-atras-izq,revolute,"-0,033294",0,"-0,03","3,1416",0,"1,5708",Rambler-chasis,1,0,0,0,0,"5,812","6,2832",,,,,,,,
Piston-atras-izq,"0,0498394090259186","-0,319396233416161","0,815532777176436",0,0,0,"410,95","95,7952062704607","-0,000613730429750716","0,0708074089645571","118,733433081717","0,564932560850824","49,2145028687947",0,0,0,0,0,0,package://RAMBLER_MODEL/meshes/Piston-atras-izq.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://RAMBLER_MODEL/meshes/Piston-atras-izq.STL,,piston-por-dentro-5,SC-piston-dentro-atras,E-piston-dentro-atras,piston-atras-izq,revolute,"-0,36","-0,37595","0,015382",0,0,0,Suspension-atras-izq,-1,0,0,0,0,"5,8469","6,2832",,,,,,,,
Rueda-atras-izq,"0,0498394090259186","-0,319396233416161","0,815532777176436",0,0,0,"410,95","95,7952062704607","-0,000613730429750716","0,0708074089645571","118,733433081717","0,564932560850824","49,2145028687947",0,0,0,0,0,0,package://RAMBLER_MODEL/meshes/Rueda-atras-izq.STL,1,1,1,1,0,0,0,0,0,0,package://RAMBLER_MODEL/meshes/Rueda-atras-izq.STL,,Neumático-4;Rueda - Llanta-1;unión-con-ruedas - copia (2)-2,SC-rueda-atras-izq,E-ruedas-atras,rueda-atras-izq,continuous,"0,52245","-0,4356","0,045783","3,1416",0,"1,5708",Suspension-atras-izq,0,1,0,,,,,,,,,,,,
Perifericos-Sensores,"0,0498394090259186","-0,319396233416161","0,815532777176436",0,0,0,"410,95","95,7952062704607","-0,000613730429750716","0,0708074089645571","118,733433081717","0,564932560850824","49,2145028687947",0,0,0,0,0,0,package://RAMBLER_MODEL/meshes/Perifericos-Sensores.STL,1,1,1,1,0,0,0,0,0,0,package://RAMBLER_MODEL/meshes/Perifericos-Sensores.STL,,WiFi-1;Cámara-1,Global Coordinate System,Global-X-Axis,perifericos-sensores,fixed,0,0,0,0,0,0,Rambler-chasis,0,0,0,,,,,,,,,,,,
WiFi-Router,"0,0498394090259186","-0,319396233416161","0,815532777176436",0,0,0,"410,95","95,7952062704607","-0,000613730429750716","0,0708074089645571","118,733433081717","0,564932560850824","49,2145028687947",0,0,0,0,0,0,package://RAMBLER_MODEL/meshes/WiFi-Router.STL,1,1,1,1,0,0,0,0,0,0,package://RAMBLER_MODEL/meshes/WiFi-Router.STL,,WiFi-1,Global Coordinate System,Global-X-Axis,WiFi-Router,fixed,0,0,0,0,0,0,Perifericos-Sensores,0,0,0,,,,,,,,,,,,
Multisensor VRTK2,"0,0498394090259186","-0,319396233416161","0,815532777176436",0,0,0,"410,95","95,7952062704607","-0,000613730429750716","0,0708074089645571","118,733433081717","0,564932560850824","49,2145028687947",0,0,0,0,0,0,package://RAMBLER_MODEL/meshes/Multisensor VRTK2.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://RAMBLER_MODEL/meshes/Multisensor VRTK2.STL,,00_VRTK2_STK_Assembly_incl_cam_FOV_v3-1,SC-Multisensor,Global-X-Axis,Multisensor VRTK2,fixed,"0,34487","0,00025","0,99",0,0,0,Perifericos-Sensores,0,0,0,,,,,,,,,,,,
Camara-PTZ,"0,049839","-0,3194","0,81553",0,0,0,"410,95","95,795","-0,00061373","0,070807","118,73","0,56493","49,215",0,0,0,0,0,0,package://RAMBLER_MODEL/meshes/Camara-PTZ.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://RAMBLER_MODEL/meshes/Camara-PTZ.STL,,Cámara-1,Global Coordinate System,Global-X-Axis,Camara-PTZ,fixed,0,0,0,0,0,0,Perifericos-Sensores,0,0,0,,,,,,,,,,,,
